Comment,Designator,Footprint,LCSC Part #
1N5819WS,D9 D10,SOD323-W,
1k,R6 R10,R0603,
1nF,C2,C0603K,
2k,R13 R20 R28,R0603,
10k,R24A,R0603,
10nF,C1 C17,C0603K,
10uF,C19,C0603K,
22uF,C5 C6 C7 C8 C11 C12 C14 C20 C21 C22 C23 C24 C25 C26,C0805K,
29.4k,R22,R0603,
47k,R1 R2 R3 R16 R17 R18,R0603,
47pF,C3,C0603K,
47uF,C10 C16,C0603K,
68.1k,R21,R0603,
100nF,C4 C9 C15 C18,C0603K,
332k,R19,R0603,
510,R4 R5 R24B,R0603,
750,R25 R30,R0603,
1255AY-6R8M=P3,L2,IND_1255AY-6R8M=P3,
DC-005-2.5A-2.0-SMT,CN1,DCJACK_2MM_SMT,
DNP,C13,C0805K,
DRV8220DRLRSOT5X3-6_DRL_TEX-L,U5,SOT5X3-6_DRL_TEX-L,
ICL7662EBA-T,U4,21-0041B_8,
JUMPER-SMT_2_NC_PASTE_SILK,JP3,SMT-JUMPER_2_NC_PASTE_SILK,
MICROSD-PUSH-OUT,U$2,MICROSD-PUSH-OUT,
OPA2810IDGKR,U$1,SOP65P490X110-8N,
SN74LVC2G04DCKR,U3,SOT65P210X110-6N,
TPS54331DR,U1,SOIC127P599X175-8N,
